2026-01-11 16:03:26 |  central | CHANGE_PRICE | P010 Samsung Trifold (512 GB) | Price: £1899.00 -> £1899.00
2026-03-29 14:33:18 | UNKNOWN | UPDATE STOCK | P035 Apple iPhone 15 | Stock changed from 20 to 30
2026-03-29 14:33:27 | UNKNOWN | REMOVE PHONE | P035 Apple iPhone 15 | Phone removed from inventory
2026-03-29 15:44:22 | central | REMOVE PHONE | P028 Apple iPhone 15 | Phone removed from inventory
2026-03-29 15:44:29 | central | UPDATE STOCK | P027 Apple iPhone 16 Pro | Stock changed from 100 to 12
2026-03-29 16:10:58 | central | ADD PHONE | P035 Apple iPhone AIR | Added with price £1000.00, stock 20, storage 512GB
2026-03-29 16:11:16 | central | ADD PHONE | P036 Samsung Trifold | Added with price £2899.00, stock 2, storage 256GB
2026-03-29 16:11:24 | central | REMOVE PHONE | P036 Samsung Trifold | Phone removed from inventory
2026-03-29 16:11:49 | central | CHANGE PRICE | P035 Apple iPhone AIR | Price changed from £1000.00 to £1099.00
2026-03-29 16:46:17 | central | ADD PHONE | P036 Apple iPhone 15 | Added with price £599.00, stock 22, storage 512GB
2026-03-29 17:04:23 | central | CHANGE PRICE | P014 Samsung Trifold | Price changed from £2899.00 to £2799.00
2026-03-29 17:51:06 | central | REMOVE PHONE | P013 Samsung Fold 7 | Phone removed from inventory
2026-03-29 17:56:06 | central | UPDATE STOCK | P003 Apple iPhone 15 Pro | Stock changed from 98 to 100
2026-03-29 17:57:34 | central | CHANGE PRICE | P035 Apple iPhone AIR | Price changed from £1099.00 to £10000.00
2026-03-29 17:58:08 | central | CHANGE PRICE | P035 Apple iPhone AIR | Price changed from £10000.00 to £899.00
2026-03-29 17:58:29 | central | CHANGE PRICE | P015 Google Pixel 10 | Price changed from £749.00 to £749.00
2026-03-29 18:01:43 | central | UPDATE STOCK | P011 Samsung Galaxy S25 Ultra | Stock changed from 93 to 95
2026-03-29 18:01:55 | central | CHANGE PRICE | P027 Apple iPhone 16 Pro | Price changed from £799.00 to £749.00
2026-03-29 18:02:26 | central | CHANGE PRICE | P019 Motorola Edge 60 | Price changed from £399.00 to £499.00
2026-03-29 18:02:40 | central | UPDATE STOCK | P011 Samsung Galaxy S25 Ultra | Stock changed from 95 to 100
2026-03-29 18:02:50 | central | UPDATE STOCK | P001 Apple iPhone AIR | Stock changed from 40 to 50
2026-03-29 18:05:41 | central | UPDATE STOCK | P009 Samsung Galaxy S25 | Stock changed from 100 to 90
2026-03-29 18:05:55 | central | CHANGE PRICE | P007 Apple iPhone 17 Pro | Price changed from £1089.00 to £1099.00
2026-03-29 18:06:45 | central | ADD PHONE | P037 Apple iPhone 16 | Added with price £699.00, stock 11, storage 512GB
2026-03-29 18:08:13 | central | ADD PHONE | P038 Apple iPhone AIR | Added with price £1299.00, stock 100, storage 1024GB
2026-03-29 19:24:19 | central | REMOVE PHONE | P038 Apple iPhone AIR | Phone removed from inventory
2026-03-29 19:24:28 | central | UPDATE STOCK | P037 Apple iPhone 16 | Stock changed from 11 to 20
2026-03-29 22:38:19 | central | UPDATE STOCK | P001 Apple iPhone AIR | Stock changed from 0 to 50
2026-03-30 00:33:54 | central | CHANGE PRICE | P005 Apple iPhone 16 Pro | Price changed from £799.00 to £899.00
2026-03-30 01:40:34 | central | REMOVE PHONE | P012 Samsung Flip 7 | Phone removed from inventory
2026-03-30 01:41:37 | central | UPDATE STOCK | P018 Motorola Signature | Stock changed from 100 to 20
2026-03-30 01:42:44 | central | CHANGE PRICE | P030 Samsung S26 Plus | Price changed from £999.00 to £949.00
